car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats
Mahindra XUV300,Mahindra,XUV300,2,30000,Individual,Petrol,Manual,17.0,1197,110.0,5
Maruti Vitara,Maruti,Vitara,4,70000,Individual,Diesel,Manual,24.3,1248,88.5,5
Hyundai i20,Hyundai,i20,5,30000,Individual,Diesel,Manual,22.54,1396,88.73,5
Maruti Ertiga,Maruti,Ertiga,8,101000,Individual,Diesel,Manual,20.77,1248,88.8,7
Maruti Swift Dzire,Maruti,Swift Dzire,7,59500,Individual,Diesel,Manual,23.4,1248,74.0,5
Hyundai i20,Hyundai,i20,7,44000,Individual,Diesel,Manual,22.54,1396,88.73,5
Honda WR-V,Honda,WR-V,4,25000,Individual,Petrol,Manual,17.5,1199,88.7,5
Mahindra XUV500,Mahindra,XUV500,4,119000,Individual,Diesel,Manual,16.0,2179,140.0,7
Honda City,Honda,City,7,100000,Individual,Diesel,Manual,26.0,1498,98.6,5
Volkswagen Vento,Volkswagen,Vento,4,65000,Dealer,Diesel,Manual,22.27,1498,108.6,5
Honda Jazz,Honda,Jazz,3,30000,Individual,Petrol,Manual,18.2,1199,88.7,5
Maruti Swift Dzire,Maruti,Swift Dzire,7,81000,Dealer,Diesel,Manual,28.4,1248,74.02,5
Honda Amaze,Honda,Amaze,2,8700,Individual,Petrol,Manual,19.5,1199,88.76,5
Mahindra XUV500,Mahindra,XUV500,3,54200,Individual,Diesel,Manual,15.1,2179,152.87,7
Maruti Swift,Maruti,Swift,8,77831,Dealer,Diesel,Manual,22.9,1248,74.0,5
BMW X1,BMW,X1,6,25000,Dealer,Diesel,Automatic,17.05,1995,184.0,5
Hyundai Grand,Hyundai,Grand,7,56000,Dealer,Diesel,Manual,24.0,1120,70.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5
Toyota Fortuner,Toyota,Fortuner,2,1677,Dealer,Diesel,Manual,12.55,2982,168.5,7
Hyundai Elantra,Hyundai,Elantra,8,34800,Dealer,Petrol,Automatic,14.5,1797,147.5,5
Hyundai Grand,Hyundai,Grand,3,24200,Individual,Petrol,Manual,18.9,1197,81.86,5
Tata Tiago,Tata,Tiago,4,20000,Individual,Petrol,Manual,23.84,1199,84.0,5
Hyundai i10,Hyundai,i10,10,58000,Dealer,Petrol,Manual,20.36,1197,78.9,5
Maruti Wagon R,Maruti,Wagon R,4,28500,Dealer,Petrol,Automatic,20.51,998,67.0,5
Maruti Alto,Maruti,Alto,3,25000,Individual,Petrol,Manual,23.95,998,67.05,5
Maruti Baleno,Maruti,Baleno,2,3500,Individual,Diesel,Manual,27.39,1248,74.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,4,60000,Dealer,Diesel,Automatic,28.4,1248,74.02,5
Mahindra KUV,Mahindra,KUV,5,26000,Individual,Petrol,Manual,18.15,1198,82.0,6
Honda City,Honda,City,7,25000,Dealer,Diesel,Manual,26.0,1498,98.6,5
Hyundai i20,Hyundai,i20,10,62540,Dealer,Petrol,Manual,18.5,1197,80.0,5
Tata Tiago,Tata,Tiago,3,25656,Trustmark Dealer,Petrol,Manual,23.84,1199,84.0,5
Hyundai Santro,Hyundai,Santro,2,6932,Dealer,Petrol,Automatic,20.3,1086,68.07,5
Maruti Swift Dzire,Maruti,Swift Dzire,3,20000,Individual,Petrol,Manual,21.21,1197,81.8,5
Renault Duster,Renault,Duster,4,51430,Dealer,Diesel,Manual,19.87,1461,83.8,5
Ford Figo,Ford,Figo,8,51000,Dealer,Diesel,Manual,20.0,1399,68.0,5
Honda City,Honda,City,5,78236,Dealer,Petrol,Manual,17.4,1497,117.3,5
Maruti Ertiga,Maruti,Ertiga,2,15000,Individual,Petrol,Manual,19.34,1462,103.0,7
Hyundai i20,Hyundai,i20,6,72000,Dealer,Petrol,Manual,18.6,1197,81.83,5
Mahindra Bolero,Mahindra,Bolero,4,60000,Individual,Diesel,Manual,15.96,2523,62.1,9
Maruti Swift,Maruti,Swift,6,41000,Dealer,Diesel,Manual,25.2,1248,74.0,5
Hyundai Grand,Hyundai,Grand,4,60000,Individual,Diesel,Manual,24.0,1186,73.97,5
Honda City,Honda,City,2,11000,Dealer,Petrol,Manual,17.0,1497,118.0,5
Volkswagen Vento,Volkswagen,Vento,4,37959,Dealer,Petrol,Automatic,18.19,1197,103.2,5
Audi Q7,Audi,Q7,12,67000,Individual,Diesel,Automatic,12.07,2967,241.4,7
Skoda Superb,Skoda,Superb,8,63500,Dealer,Diesel,Automatic,17.2,1968,138.1,5
Hyundai Verna,Hyundai,Verna,11,50000,Dealer,Diesel,Automatic,16.2,1493,110.0,5
Honda Jazz,Honda,Jazz,2,9812,Dealer,Petrol,Manual,18.7,1199,88.7,5
Hyundai Santro,Hyundai,Santro,9,106346,Dealer,Petrol,Manual,17.92,1086,62.1,5
BMW X1,BMW,X1,3,28000,Dealer,Diesel,Automatic,20.68,1995,188.0,5
Honda City,Honda,City,11,57000,Dealer,Petrol,Manual,17.0,1497,118.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,9,55000,Dealer,Petrol,Manual,17.5,1197,85.8,5
Hyundai Verna,Hyundai,Verna,8,70000,Individual,Petrol,Automatic,17.1,1591,121.4,5
Maruti Swift,Maruti,Swift,8,30000,Individual,Petrol,Manual,18.6,1197,85.8,5
Honda CR-V,Honda,CR-V,2,20000,Individual,Diesel,Automatic,19.5,1597,118.3,7
Maruti Wagon R,Maruti,Wagon R,7,76470,Dealer,Petrol,Manual,20.51,998,67.04,5
Ford Ecosport,Ford,Ecosport,7,13000,Dealer,Petrol,Manual,15.8,1499,110.0,5
Ford Figo,Ford,Figo,6,60217,Dealer,Diesel,Manual,25.83,1498,99.0,5
Mahindra Bolero,Mahindra,Bolero,5,120000,Individual,Diesel,Manual,15.96,2523,62.1,7
Hyundai i20,Hyundai,i20,6,50000,Dealer,Petrol,Automatic,15.0,1396,98.6,5
Renault Triber,Renault,Triber,2,15000,Individual,Petrol,Manual,20.0,999,72.0,7
Hyundai Verna,Hyundai,Verna,9,30917,Dealer,Diesel,Manual,22.32,1582,126.3,5
Honda Jazz,Honda,Jazz,3,59000,Dealer,Petrol,Manual,18.7,1199,88.7,5
Datsun RediGO,Datsun,RediGO,4,20000,Individual,Petrol,Manual,22.7,799,53.64,5
Maruti Alto,Maruti,Alto,8,33682,Dealer,Petrol,Manual,22.74,796,47.3,5
Mahindra XUV500,Mahindra,XUV500,4,58574,Dealer,Diesel,Manual,16.0,2179,140.0,7
Honda Amaze,Honda,Amaze,2,13000,Dealer,Diesel,Automatic,21.0,1498,78.9,5
Maruti Ciaz,Maruti,Ciaz,6,53698,Dealer,Diesel,Manual,28.09,1248,88.5,5
Maruti Baleno,Maruti,Baleno,4,51000,Dealer,Petrol,Manual,21.4,1197,83.1,5
Mahindra Bolero,Mahindra,Bolero,12,15000,Individual,Diesel,Manual,13.6,2523,63.0,7
Hyundai i10,Hyundai,i10,13,64684,Dealer,Petrol,Manual,20.36,1197,78.9,5
Maruti Swift,Maruti,Swift,6,75000,Dealer,Diesel,Manual,25.2,1248,74.0,5
Maruti Alto,Maruti,Alto,5,45000,Dealer,CNG,Manual,30.46,796,47.3,5
Maruti Swift Dzire,Maruti,Swift Dzire,6,180000,Individual,Diesel,Manual,26.59,1248,74.0,5
Honda Amaze,Honda,Amaze,8,54000,Dealer,Diesel,Manual,25.8,1498,98.6,5
Maruti Swift Dzire,Maruti,Swift Dzire,4,42000,Dealer,Petrol,Manual,22.0,1197,81.8,5
Maruti Ciaz,Maruti,Ciaz,5,115852,Dealer,Diesel,Manual,28.09,1248,88.5,5
Hyundai i10,Hyundai,i10,9,49000,Dealer,Petrol,Automatic,16.95,1197,78.9,5
Maruti Swift,Maruti,Swift,5,20000,Dealer,Petrol,Manual,22.0,1197,81.8,5
Hyundai Verna,Hyundai,Verna,7,40000,Individual,Diesel,Manual,22.32,1582,126.3,5
Skoda Superb,Skoda,Superb,4,8000,Dealer,Petrol,Automatic,14.67,1798,177.46,5
Maruti Celerio,Maruti,Celerio,6,28951,Dealer,Petrol,Automatic,23.1,998,67.04,5
Mahindra Scorpio,Mahindra,Scorpio,3,38500,Individual,Diesel,Manual,16.36,2179,140.0,7
BMW 3,BMW,3,6,45000,Dealer,Diesel,Automatic,22.69,1995,190.0,5
Jaguar XF,Jaguar,XF,8,40000,Dealer,Diesel,Automatic,16.36,2179,187.7,5
Maruti Alto,Maruti,Alto,6,56660,Dealer,Petrol,Manual,23.95,998,67.05,5
Maruti Baleno,Maruti,Baleno,4,32000,Dealer,Diesel,Manual,27.39,1248,74.0,5
Hyundai Santro,Hyundai,Santro,10,174926,Individual,Petrol,Manual,17.92,1086,62.1,5
Mahindra Scorpio,Mahindra,Scorpio,9,54000,Dealer,Diesel,Manual,12.05,2179,120.0,7
Maruti Celerio,Maruti,Celerio,6,23121,Dealer,Petrol,Automatic,23.1,998,67.04,5
Honda Amaze,Honda,Amaze,5,103000,Dealer,Diesel,Manual,25.8,1498,98.6,5
Volkswagen Vento,Volkswagen,Vento,6,40000,Individual,Petrol,Manual,15.04,1598,103.2,5
Hyundai i20,Hyundai,i20,2,25000,Dealer,Petrol,Manual,18.6,1197,81.83,5
Maruti Ertiga,Maruti,Ertiga,7,68880,Dealer,Diesel,Manual,20.77,1248,88.76,7
Volkswagen Vento,Volkswagen,Vento,9,830000,Dealer,Diesel,Manual,20.54,1598,103.6,5
Volkswagen Polo,Volkswagen,Polo,9,90100,Dealer,Diesel,Manual,22.07,1199,73.9,5
Maruti Baleno,Maruti,Baleno,4,120000,Individual,Petrol,Manual,21.1,998,100.0,5
Ford Figo,Ford,Figo,8,30000,Individual,Petrol,Manual,15.6,1196,70.0,5
Tata Nexon,Tata,Nexon,3,18000,Individual,Diesel,Automatic,21.5,1497,108.5,5
Ford Aspire,Ford,Aspire,3,59012,Dealer,Diesel,Manual,25.83,1498,99.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,3,70000,Individual,Diesel,Manual,28.4,1248,74.02,5
Maruti Swift Dzire,Maruti,Swift Dzire,9,112000,Individual,Diesel,Manual,23.4,1248,74.0,5
Maruti Wagon R,Maruti,Wagon R,7,65000,Individual,Petrol,Manual,20.51,998,67.04,5
Volkswagen Vento,Volkswagen,Vento,4,64253,Dealer,Diesel,Manual,20.64,1498,108.49,5
Maruti Ciaz,Maruti,Ciaz,2,30000,Individual,Petrol,Automatic,20.28,1462,103.25,5
Maruti Celerio,Maruti,Celerio,7,9000,Individual,Petrol,Automatic,23.1,998,67.04,5
Hyundai Santro,Hyundai,Santro,6,76300,Dealer,Petrol,Manual,17.92,1086,62.1,5
Honda Amaze,Honda,Amaze,4,32000,Dealer,Petrol,Manual,17.8,1198,86.7,5
Hyundai i10,Hyundai,i10,6,36936,Dealer,Petrol,Manual,19.81,1086,68.05,5
Maruti Swift,Maruti,Swift,7,55000,Dealer,Petrol,Manual,21.21,1197,81.8,5
Maruti Celerio,Maruti,Celerio,2,25202,Dealer,Petrol,Automatic,21.63,998,67.04,5
Hyundai Creta,Hyundai,Creta,4,85000,Dealer,Diesel,Manual,22.1,1396,88.7,5
Maruti Swift Dzire,Maruti,Swift Dzire,5,100000,Individual,Diesel,Manual,26.59,1248,74.0,5
Mahindra XUV500,Mahindra,XUV500,10,74000,Dealer,Diesel,Manual,15.1,2179,140.0,7
Maruti Swift,Maruti,Swift,8,108000,Dealer,Diesel,Manual,22.9,1248,74.0,5
Hyundai i20,Hyundai,i20,3,20000,Individual,Petrol,Manual,18.6,1197,81.83,5
Volkswagen Polo,Volkswagen,Polo,6,33000,Dealer,Petrol,Manual,16.47,1198,73.9,5
Maruti Swift Dzire,Maruti,Swift Dzire,10,120000,Individual,Diesel,Manual,19.3,1248,73.9,5
Honda Amaze,Honda,Amaze,2,8760,Dealer,Petrol,Automatic,19.0,1199,88.76,5
Tata Safari,Tata,Safari,5,66000,Individual,Diesel,Manual,14.1,2179,153.86,7
Tata Safari,Tata,Safari,13,110000,Individual,Diesel,Manual,11.57,2179,138.1,7
Hyundai i20,Hyundai,i20,7,42000,Dealer,Petrol,Manual,18.6,1197,81.83,5
Toyota Innova,Toyota,Innova,12,214000,Dealer,Diesel,Manual,12.99,2494,100.6,7
Hyundai Creta,Hyundai,Creta,5,27700,Dealer,Petrol,Manual,15.29,1591,121.3,5
Renault KWID,Renault,KWID,6,32000,Dealer,Petrol,Manual,20.71,799,53.26,5
Hyundai Grand,Hyundai,Grand,5,60000,Individual,Petrol,Automatic,18.9,1197,81.86,5
Toyota Innova,Toyota,Innova,6,117000,Dealer,Diesel,Manual,12.99,2494,100.6,8
Mahindra KUV,Mahindra,KUV,5,21000,Individual,Petrol,Manual,18.15,1198,82.0,6
Mahindra Bolero,Mahindra,Bolero,3,60000,Individual,Diesel,Manual,15.96,2523,62.1,7
Maruti Swift,Maruti,Swift,7,81000,Dealer,Diesel,Manual,28.4,1248,74.0,5
Mahindra KUV,Mahindra,KUV,4,30000,Individual,Petrol,Manual,18.15,1198,82.0,5
Mahindra Scorpio,Mahindra,Scorpio,3,50000,Individual,Diesel,Manual,15.4,2523,75.0,7
Maruti Ertiga,Maruti,Ertiga,8,90000,Individual,Diesel,Manual,20.77,1248,88.8,7
Maruti Ciaz,Maruti,Ciaz,5,86000,Dealer,Diesel,Manual,28.09,1248,88.5,5
Maruti Ertiga,Maruti,Ertiga,4,63000,Dealer,Diesel,Manual,24.2,1498,93.87,7
Maruti Wagon R,Maruti,Wagon R,6,15000,Individual,Petrol,Manual,20.51,998,67.04,5
BMW X5,BMW,X5,2,7000,Dealer,Diesel,Automatic,13.38,2993,265.0,5
Renault KWID,Renault,KWID,2,1100,Dealer,Petrol,Manual,23.01,999,67.0,5
Skoda Rapid,Skoda,Rapid,4,35000,Dealer,Petrol,Automatic,14.84,1598,103.2,5
Toyota Innova,Toyota,Innova,4,63000,Dealer,Diesel,Automatic,11.36,2755,171.5,7
Hyundai Verna,Hyundai,Verna,8,78000,Dealer,Diesel,Manual,22.32,1582,126.3,5
Maruti Wagon R,Maruti,Wagon R,2,9605,Dealer,Petrol,Manual,20.52,1197,81.8,5
Hyundai i20,Hyundai,i20,3,33000,Dealer,Petrol,Manual,18.6,1197,81.86,5
Renault KWID,Renault,KWID,3,1973,Dealer,Petrol,Automatic,24.04,999,67.0,5
Toyota Innova,Toyota,Innova,4,36639,Dealer,Diesel,Automatic,13.68,2393,147.51,8
Maruti Wagon R,Maruti,Wagon R,4,75000,Dealer,CNG,Manual,33.54,998,67.04,5
Hyundai Verna,Hyundai,Verna,7,68000,Dealer,Diesel,Automatic,19.08,1582,126.32,5
Ford Endeavour,Ford,Endeavour,2,18000,Dealer,Diesel,Automatic,10.91,3198,197.0,7
Maruti Baleno,Maruti,Baleno,4,45000,Dealer,Diesel,Manual,27.39,1248,74.0,5
Honda Amaze,Honda,Amaze,2,68000,Dealer,Diesel,Automatic,21.0,1498,78.9,5
Maruti Ertiga,Maruti,Ertiga,2,15000,Individual,Petrol,Manual,19.34,1462,103.0,7
Renault KWID,Renault,KWID,6,45006,Dealer,Petrol,Manual,25.17,799,53.3,5
Maruti Swift,Maruti,Swift,8,80000,Individual,Diesel,Manual,22.9,1248,74.0,5
Hyundai Creta,Hyundai,Creta,4,45900,Dealer,Diesel,Manual,19.67,1582,126.2,5
Maruti Swift Dzire,Maruti,Swift Dzire,10,44070,Dealer,Petrol,Manual,17.5,1197,85.8,5
Hyundai Creta,Hyundai,Creta,5,52000,Dealer,Diesel,Manual,21.38,1396,88.7,5
Honda City,Honda,City,7,90000,Individual,Diesel,Manual,25.1,1498,98.6,5
Maruti Baleno,Maruti,Baleno,3,30000,Individual,Petrol,Automatic,21.4,1197,83.1,5
Toyota Innova,Toyota,Innova,5,40000,Individual,Diesel,Manual,13.68,2393,147.8,8
Hyundai Creta,Hyundai,Creta,3,22000,Dealer,Petrol,Automatic,14.8,1591,121.3,5
Tata Tiago,Tata,Tiago,2,11000,Individual,Petrol,Manual,23.84,1199,84.0,5
Honda City,Honda,City,3,12000,Individual,Petrol,Manual,17.4,1497,117.6,5
Maruti Alto,Maruti,Alto,11,70000,Individual,Petrol,Manual,19.7,796,46.3,5
Maruti Swift,Maruti,Swift,4,34000,Individual,Petrol,Manual,20.4,1197,81.8,5
Hyundai Verna,Hyundai,Verna,11,25000,Individual,Diesel,Manual,16.2,1493,110.0,5
Maruti Wagon R,Maruti,Wagon R,6,62000,Dealer,Petrol,Manual,18.9,998,67.1,5
Hyundai Grand,Hyundai,Grand,6,80000,Dealer,Diesel,Manual,24.0,1120,70.0,5
Datsun redi-GO,Datsun,redi-GO,5,50000,Dealer,Petrol,Manual,21.7,999,67.05,5
Maruti Ertiga,Maruti,Ertiga,4,19000,Dealer,Diesel,Manual,24.52,1248,88.5,7
Maruti Swift,Maruti,Swift,11,36000,Individual,Petrol,Manual,16.6,1197,85.0,5
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,8,140000,Dealer,Diesel,Automatic,14.21,2143,203.0,5
Hyundai i10,Hyundai,i10,9,61685,Dealer,Petrol,Manual,19.81,1086,68.05,5
Volkswagen Vento,Volkswagen,Vento,5,72000,Dealer,Diesel,Automatic,22.15,1498,108.6,5
Hyundai Grand,Hyundai,Grand,2,5000,Individual,Petrol,Manual,18.9,1197,81.86,5
Volvo XC,Volvo,XC,1,9000,Dealer,Diesel,Automatic,17.2,1969,235.0,7
Honda Amaze,Honda,Amaze,2,10000,Dealer,Diesel,Manual,27.4,1498,98.63,5
Hyundai i20,Hyundai,i20,11,81000,Dealer,Petrol,Manual,18.5,1197,80.0,5
Hyundai i10,Hyundai,i10,10,82000,Dealer,Petrol,Manual,20.36,1197,78.9,5
Ford Aspire,Ford,Aspire,6,70000,Individual,Diesel,Manual,25.83,1498,99.0,5
Honda Jazz,Honda,Jazz,4,30000,Dealer,Petrol,Manual,18.7,1199,88.7,5
Hyundai Creta,Hyundai,Creta,3,40000,Individual,Diesel,Manual,21.38,1396,88.7,5
Land Rover Rover,Land Rover,Rover,7,52000,Dealer,Diesel,Automatic,12.7,2179,187.7,5
Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5
Hyundai i10,Hyundai,i10,9,34000,Individual,Petrol,Manual,20.36,1197,78.9,5
Maruti Baleno,Maruti,Baleno,2,14000,Dealer,Petrol,Manual,21.01,1197,81.8,5
Hyundai Verna,Hyundai,Verna,7,30666,Dealer,Diesel,Manual,22.32,1582,126.3,5
Hyundai i20,Hyundai,i20,3,32000,Dealer,Diesel,Manual,21.19,1396,88.76,5
Maruti Wagon R,Maruti,Wagon R,6,38546,Dealer,Petrol,Manual,20.51,998,67.04,5
Honda WR-V,Honda,WR-V,3,58000,Individual,Diesel,Manual,25.5,1498,98.6,5
Tata Nexon,Tata,Nexon,3,40000,Individual,Diesel,Automatic,21.5,1497,108.5,5
Toyota Innova,Toyota,Innova,3,42000,Dealer,Diesel,Automatic,13.68,2393,147.51,7
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,3,25000,Dealer,Diesel,Automatic,19.27,2143,170.0,5
Skoda Rapid,Skoda,Rapid,7,50900,Dealer,Petrol,Manual,15.0,1598,103.5,5
BMW 3,BMW,3,5,13900,Dealer,Diesel,Automatic,22.69,1995,190.0,5
Ford Ecosport,Ford,Ecosport,6,31700,Dealer,Diesel,Manual,22.7,1498,89.84,5
Hyundai Creta,Hyundai,Creta,1,1500,Individual,Petrol,Manual,15.8,1591,121.3,5
Maruti Wagon R,Maruti,Wagon R,12,27000,Dealer,Petrol,Manual,18.9,998,67.1,5
Renault KWID,Renault,KWID,3,15300,Dealer,Petrol,Manual,23.01,999,67.0,5
Hyundai Verna,Hyundai,Verna,3,60000,Individual,Diesel,Automatic,22.0,1582,126.2,5
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,4,48000,Dealer,Diesel,Automatic,16.1,1950,191.7,5
Maruti Alto,Maruti,Alto,7,65000,Individual,Petrol,Manual,23.95,998,67.05,5
Maruti Alto,Maruti,Alto,5,30000,Individual,Petrol,Manual,23.95,998,67.05,5
Hyundai i20,Hyundai,i20,3,38000,Dealer,Petrol,Manual,18.6,1197,81.86,5
Hyundai Creta,Hyundai,Creta,4,43000,Dealer,Petrol,Manual,13.0,1591,121.3,5
Maruti Vitara,Maruti,Vitara,5,120000,Individual,Diesel,Manual,24.3,1248,88.5,5
Hyundai Grand,Hyundai,Grand,6,39048,Dealer,Petrol,Manual,18.9,1197,82.0,5
Renault KWID,Renault,KWID,5,45000,Individual,Petrol,Manual,23.01,999,67.0,5
Maruti Alto,Maruti,Alto,7,56332,Dealer,Petrol,Manual,23.95,998,67.05,5
Hyundai Creta,Hyundai,Creta,5,42530,Dealer,Petrol,Manual,15.29,1591,121.3,5
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,5,14000,Individual,Diesel,Automatic,16.1,1950,191.7,5
Maruti Swift Dzire,Maruti,Swift Dzire,8,86300,Individual,Petrol,Manual,19.1,1197,85.8,5
Tata Tiago,Tata,Tiago,4,28000,Dealer,Petrol,Manual,23.84,1199,84.0,5
Hyundai Verna,Hyundai,Verna,9,72000,Dealer,Diesel,Manual,22.32,1582,126.32,5
Hyundai Grand,Hyundai,Grand,4,48000,Dealer,Petrol,Manual,18.9,1197,81.86,5
Maruti Wagon R,Maruti,Wagon R,10,120000,Individual,CNG,Manual,26.2,998,58.2,5
Hyundai Santro,Hyundai,Santro,10,64000,Dealer,Petrol,Manual,17.92,1086,62.1,5
Hyundai Verna,Hyundai,Verna,2,6500,Individual,Petrol,Manual,17.1,1591,121.3,5
Mahindra Bolero,Mahindra,Bolero,3,45000,Individual,Diesel,Manual,16.5,1493,70.0,7
Toyota Innova,Toyota,Innova,4,80000,Dealer,Diesel,Automatic,11.36,2755,171.5,7
Honda CR,Honda,CR,8,55000,Dealer,Petrol,Automatic,12.0,2354,187.4,5
Toyota Innova,Toyota,Innova,4,101564,Dealer,Petrol,Manual,11.25,2694,163.7,7
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,40000,Dealer,Diesel,Automatic,19.71,2143,201.15,5
Hyundai Creta,Hyundai,Creta,6,140000,Individual,Diesel,Manual,19.67,1582,126.2,5
Maruti Baleno,Maruti,Baleno,4,33528,Trustmark Dealer,Petrol,Manual,21.4,1197,83.1,5
Maruti Wagon R,Maruti,Wagon R,12,48192,Dealer,Petrol,Manual,18.9,1061,67.0,5
Honda City,Honda,City,10,40142,Dealer,Petrol,Manual,17.0,1497,118.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,5,67195,Dealer,Petrol,Manual,21.21,1197,81.8,5
Toyota Innova,Toyota,Innova,5,35512,Dealer,Diesel,Automatic,11.36,2755,171.5,7
Mahindra XUV500,Mahindra,XUV500,6,70000,Dealer,Diesel,Manual,16.0,2179,140.0,7
Mahindra Scorpio,Mahindra,Scorpio,9,120000,Individual,Diesel,Automatic,11.79,2179,120.0,8
Datsun GO,Datsun,GO,3,35000,Individual,Petrol,Manual,19.44,1198,67.0,7
Honda Amaze,Honda,Amaze,3,3919,Dealer,Diesel,Automatic,23.8,1498,78.9,5
Maruti Vitara,Maruti,Vitara,4,55000,Dealer,Diesel,Manual,24.3,1248,88.5,5
Maruti Ertiga,Maruti,Ertiga,6,40000,Dealer,Petrol,Manual,19.34,1462,103.0,7
Maruti Alto,Maruti,Alto,6,17000,Dealer,Petrol,Manual,23.95,998,67.1,5
Maruti XL6,Maruti,XL6,1,9500,Dealer,Petrol,Automatic,17.99,1462,103.2,6
Hyundai i10,Hyundai,i10,10,67000,Dealer,Petrol,Manual,19.81,1086,68.05,5
Hyundai Creta,Hyundai,Creta,5,52000,Dealer,Diesel,Manual,19.67,1582,126.2,5
Hyundai i20,Hyundai,i20,4,32000,Individual,Petrol,Manual,18.6,1197,81.83,5
Maruti Wagon R,Maruti,Wagon R,4,35000,Dealer,Petrol,Manual,21.79,998,67.05,5
Mahindra XUV500,Mahindra,XUV500,5,70066,Dealer,Diesel,Manual,16.0,1997,140.0,7
Hyundai i10,Hyundai,i10,10,30000,Individual,Petrol,Manual,20.36,1197,78.9,5
Mahindra Scorpio,Mahindra,Scorpio,3,60000,Individual,Diesel,Manual,15.4,2523,75.0,7
Toyota Fortuner,Toyota,Fortuner,5,120000,Individual,Diesel,Manual,12.55,2982,168.5,7
Honda Jazz,Honda,Jazz,5,15000,Individual,Petrol,Manual,18.7,1199,88.7,5
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,72000,Dealer,Diesel,Automatic,14.84,2143,167.62,5
Hyundai i10,Hyundai,i10,6,40000,Individual,Petrol,Manual,19.81,1086,68.05,5
Renault KWID,Renault,KWID,3,36000,Dealer,Petrol,Automatic,24.04,999,67.0,5
Maruti Alto,Maruti,Alto,6,38000,Dealer,Petrol,Automatic,23.95,998,67.05,5
Maruti Swift Dzire,Maruti,Swift Dzire,3,60000,Individual,Diesel,Manual,28.4,1248,74.02,5
Hyundai Elantra,Hyundai,Elantra,6,50000,Dealer,Petrol,Automatic,14.62,1999,149.92,5
Hyundai Grand,Hyundai,Grand,6,54000,Dealer,Petrol,Manual,18.9,1197,81.86,5
Volkswagen Polo,Volkswagen,Polo,6,52000,Dealer,Petrol,Automatic,17.21,1197,103.6,5
Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5
Hyundai i20,Hyundai,i20,11,77000,Dealer,Petrol,Manual,17.0,1197,80.0,5
BMW X1,BMW,X1,3,30000,Individual,Diesel,Automatic,20.68,1995,188.0,5
Volkswagen Vento,Volkswagen,Vento,7,59000,Dealer,Petrol,Manual,15.04,1598,103.2,5
Honda Amaze,Honda,Amaze,7,46532,Dealer,Diesel,Manual,25.8,1498,98.6,5
Volkswagen Polo,Volkswagen,Polo,6,95000,Dealer,Diesel,Manual,20.14,1498,88.8,5
Toyota Fortuner,Toyota,Fortuner,4,109000,Dealer,Diesel,Automatic,12.55,2982,168.5,7
Hyundai i10,Hyundai,i10,7,49000,Dealer,Petrol,Manual,19.81,1086,68.05,5
Honda Amaze,Honda,Amaze,8,80000,Dealer,Diesel,Manual,25.8,1498,98.6,5
Maruti Alto,Maruti,Alto,6,25000,Individual,Petrol,Manual,23.95,998,67.05,5
Maruti Alto,Maruti,Alto,10,50000,Individual,Petrol,Manual,20.92,998,67.1,5
Hyundai Grand,Hyundai,Grand,4,29000,Individual,Petrol,Manual,18.9,1197,81.86,5
Hyundai i10,Hyundai,i10,9,36000,Individual,Petrol,Manual,19.81,1086,68.05,5
Maruti Baleno,Maruti,Baleno,3,21000,Dealer,Petrol,Manual,21.4,1197,83.1,5
Hyundai i10,Hyundai,i10,12,97341,Dealer,Petrol,Manual,20.36,1197,78.9,5
Ford Aspire,Ford,Aspire,5,70000,Individual,Diesel,Manual,25.83,1498,99.0,5
Audi A4,Audi,A4,7,88720,Dealer,Diesel,Automatic,16.55,1968,147.51,5
Honda Amaze,Honda,Amaze,8,92000,Dealer,Diesel,Manual,25.8,1498,98.6,5
Maruti Swift Dzire,Maruti,Swift Dzire,6,70000,Individual,Petrol,Manual,20.85,1197,83.14,5
Hyundai Grand,Hyundai,Grand,6,38000,Dealer,Petrol,Manual,18.9,1197,82.0,5
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,7,80000,Dealer,Diesel,Automatic,14.21,2143,203.0,5
Maruti Wagon R,Maruti,Wagon R,6,62400,Dealer,Petrol,Manual,18.9,998,67.1,5
Hyundai i20,Hyundai,i20,4,33048,Dealer,Petrol,Manual,18.6,1197,81.83,5
