car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti Ertiga,Maruti,Ertiga,4,68000,Dealer,Diesel,Manual,24.52,1248,88.5,7,861822
Tata Tiago,Tata,Tiago,5,25000,Individual,Petrol,Manual,23.84,1199,84.0,5,412127
Mahindra XUV500,Mahindra,XUV500,9,90000,Individual,Diesel,Manual,15.1,2179,140.0,7,730708
BMW 5,BMW,5,11,65000,Individual,Petrol,Automatic,10.8,2497,215.0,5,1522220
Maruti Swift,Maruti,Swift,2,10000,Individual,Petrol,Manual,21.21,1197,81.8,5,614950
Hyundai Grand,Hyundai,Grand,2,16415,Individual,Petrol,Manual,18.9,1197,81.86,5,563487
Maruti Swift,Maruti,Swift,7,42000,Dealer,Diesel,Manual,25.2,1248,74.0,5,470000
Hyundai i20,Hyundai,i20,7,60000,Individual,Diesel,Manual,22.54,1396,88.73,5,444517
Hyundai Verna,Hyundai,Verna,12,55000,Dealer,Petrol,Manual,13.9,1599,103.2,5,227060
Maruti Alto,Maruti,Alto,7,50080,Individual,Petrol,Manual,22.74,796,47.3,5,217873
Maruti Wagon R,Maruti,Wagon R,12,85281,Dealer,Petrol,Manual,18.9,998,67.1,5,196190
Ford Ecosport,Ford,Ecosport,8,39500,Dealer,Petrol,Automatic,16.5,1499,110.0,5,460435
Honda Civic,Honda,Civic,13,66000,Dealer,Petrol,Manual,14.8,1799,130.2,5,269520
Maruti Baleno,Maruti,Baleno,3,19000,Dealer,Petrol,Manual,21.4,1197,83.1,5,627692
Tata Hexa,Tata,Hexa,4,78000,Individual,Diesel,Manual,17.6,2179,153.86,7,1206110
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,32057,Dealer,Diesel,Automatic,14.84,2143,170.0,5,3018810
Mahindra XUV300,Mahindra,XUV300,2,30000,Individual,Petrol,Manual,17.0,1197,110.0,5,1055070
Maruti Vitara,Maruti,Vitara,4,70000,Individual,Diesel,Manual,24.3,1248,88.5,5,735065
Hyundai i20,Hyundai,i20,5,30000,Individual,Diesel,Manual,22.54,1396,88.73,5,755355
Maruti Ertiga,Maruti,Ertiga,8,101000,Individual,Diesel,Manual,20.77,1248,88.8,7,496870
Maruti Swift Dzire,Maruti,Swift Dzire,7,59500,Individual,Diesel,Manual,23.4,1248,74.0,5,448406
Hyundai i20,Hyundai,i20,7,44000,Individual,Diesel,Manual,22.54,1396,88.73,5,447552
Honda WR-V,Honda,WR-V,4,25000,Individual,Petrol,Manual,17.5,1199,88.7,5,753767
Mahindra XUV500,Mahindra,XUV500,4,119000,Individual,Diesel,Manual,16.0,2179,140.0,7,1250950
Honda City,Honda,City,7,100000,Individual,Diesel,Manual,26.0,1498,98.6,5,568430
Volkswagen Vento,Volkswagen,Vento,4,65000,Dealer,Diesel,Manual,22.27,1498,108.6,5,846620
Honda Jazz,Honda,Jazz,3,30000,Individual,Petrol,Manual,18.2,1199,88.7,5,650777
Maruti Swift Dzire,Maruti,Swift Dzire,7,81000,Dealer,Diesel,Manual,28.4,1248,74.02,5,442170
Honda Amaze,Honda,Amaze,2,8700,Individual,Petrol,Manual,19.5,1199,88.76,5,671350
Mahindra XUV500,Mahindra,XUV500,3,54200,Individual,Diesel,Manual,15.1,2179,152.87,7,1438350
Maruti Swift,Maruti,Swift,8,77831,Dealer,Diesel,Manual,22.9,1248,74.0,5,433800
BMW X1,BMW,X1,6,25000,Dealer,Diesel,Automatic,17.05,1995,184.0,5,2147680
Hyundai Grand,Hyundai,Grand,7,56000,Dealer,Diesel,Manual,24.0,1120,70.0,5,386238
Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,447329
Toyota Fortuner,Toyota,Fortuner,2,1677,Dealer,Diesel,Manual,12.55,2982,168.5,7,2599240
Hyundai Elantra,Hyundai,Elantra,8,34800,Dealer,Petrol,Automatic,14.5,1797,147.5,5,893027
Hyundai Grand,Hyundai,Grand,3,24200,Individual,Petrol,Manual,18.9,1197,81.86,5,495210
Tata Tiago,Tata,Tiago,4,20000,Individual,Petrol,Manual,23.84,1199,84.0,5,388313
Hyundai i10,Hyundai,i10,10,58000,Dealer,Petrol,Manual,20.36,1197,78.9,5,234293
Maruti Wagon R,Maruti,Wagon R,4,28500,Dealer,Petrol,Automatic,20.51,998,67.0,5,439750
Maruti Alto,Maruti,Alto,3,25000,Individual,Petrol,Manual,23.95,998,67.05,5,334553
Maruti Baleno,Maruti,Baleno,2,3500,Individual,Diesel,Manual,27.39,1248,74.0,5,747489
Maruti Swift Dzire,Maruti,Swift Dzire,4,60000,Dealer,Diesel,Automatic,28.4,1248,74.02,5,639630
Mahindra KUV,Mahindra,KUV,5,26000,Individual,Petrol,Manual,18.15,1198,82.0,6,462538
Honda City,Honda,City,7,25000,Dealer,Diesel,Manual,26.0,1498,98.6,5,595050
Hyundai i20,Hyundai,i20,10,62540,Dealer,Petrol,Manual,18.5,1197,80.0,5,295873
Tata Tiago,Tata,Tiago,3,25656,Trustmark Dealer,Petrol,Manual,23.84,1199,84.0,5,444698
Hyundai Santro,Hyundai,Santro,2,6932,Dealer,Petrol,Automatic,20.3,1086,68.07,5,557930
Maruti Swift Dzire,Maruti,Swift Dzire,3,20000,Individual,Petrol,Manual,21.21,1197,81.8,5,711176
Renault Duster,Renault,Duster,4,51430,Dealer,Diesel,Manual,19.87,1461,83.8,5,775492
Ford Figo,Ford,Figo,8,51000,Dealer,Diesel,Manual,20.0,1399,68.0,5,246240
Honda City,Honda,City,5,78236,Dealer,Petrol,Manual,17.4,1497,117.3,5,686800
Maruti Ertiga,Maruti,Ertiga,2,15000,Individual,Petrol,Manual,19.34,1462,103.0,7,941620
Hyundai i20,Hyundai,i20,6,72000,Dealer,Petrol,Manual,18.6,1197,81.83,5,500260
Mahindra Bolero,Mahindra,Bolero,4,60000,Individual,Diesel,Manual,15.96,2523,62.1,9,694990
Maruti Swift,Maruti,Swift,6,41000,Dealer,Diesel,Manual,25.2,1248,74.0,5,486361
Hyundai Grand,Hyundai,Grand,4,60000,Individual,Diesel,Manual,24.0,1186,73.97,5,557041
Honda City,Honda,City,2,11000,Dealer,Petrol,Manual,17.0,1497,118.0,5,1146435
Volkswagen Vento,Volkswagen,Vento,4,37959,Dealer,Petrol,Automatic,18.19,1197,103.2,5,829500
Audi Q7,Audi,Q7,12,67000,Individual,Diesel,Automatic,12.07,2967,241.4,7,1106580
Skoda Superb,Skoda,Superb,8,63500,Dealer,Diesel,Automatic,17.2,1968,138.1,5,614940
Hyundai Verna,Hyundai,Verna,11,50000,Dealer,Diesel,Automatic,16.2,1493,110.0,5,340810
Honda Jazz,Honda,Jazz,2,9812,Dealer,Petrol,Manual,18.7,1199,88.7,5,762700
Hyundai Santro,Hyundai,Santro,9,106346,Dealer,Petrol,Manual,17.92,1086,62.1,5,238240
BMW X1,BMW,X1,3,28000,Dealer,Diesel,Automatic,20.68,1995,188.0,5,2888610
Honda City,Honda,City,11,57000,Dealer,Petrol,Manual,17.0,1497,118.0,5,313722
Maruti Swift Dzire,Maruti,Swift Dzire,9,55000,Dealer,Petrol,Manual,17.5,1197,85.8,5,349170
Hyundai Verna,Hyundai,Verna,8,70000,Individual,Petrol,Automatic,17.1,1591,121.4,5,483270
Maruti Swift,Maruti,Swift,8,30000,Individual,Petrol,Manual,18.6,1197,85.8,5,447245
Honda CR-V,Honda,CR-V,2,20000,Individual,Diesel,Automatic,19.5,1597,118.3,7,1280430
Maruti Wagon R,Maruti,Wagon R,7,76470,Dealer,Petrol,Manual,20.51,998,67.04,5,330830
Ford Ecosport,Ford,Ecosport,7,13000,Dealer,Petrol,Manual,15.8,1499,110.0,5,566060
Ford Figo,Ford,Figo,6,60217,Dealer,Diesel,Manual,25.83,1498,99.0,5,449310
Mahindra Bolero,Mahindra,Bolero,5,120000,Individual,Diesel,Manual,15.96,2523,62.1,7,538310
Hyundai i20,Hyundai,i20,6,50000,Dealer,Petrol,Automatic,15.0,1396,98.6,5,598720
Renault Triber,Renault,Triber,2,15000,Individual,Petrol,Manual,20.0,999,72.0,7,614925
Hyundai Verna,Hyundai,Verna,9,30917,Dealer,Diesel,Manual,22.32,1582,126.3,5,507945
Honda Jazz,Honda,Jazz,3,59000,Dealer,Petrol,Manual,18.7,1199,88.7,5,614927
Datsun RediGO,Datsun,RediGO,4,20000,Individual,Petrol,Manual,22.7,799,53.64,5,240130
Maruti Alto,Maruti,Alto,8,33682,Dealer,Petrol,Manual,22.74,796,47.3,5,208620
Mahindra XUV500,Mahindra,XUV500,4,58574,Dealer,Diesel,Manual,16.0,2179,140.0,7,1158430
Honda Amaze,Honda,Amaze,2,13000,Dealer,Diesel,Automatic,21.0,1498,78.9,5,873000
Maruti Ciaz,Maruti,Ciaz,6,53698,Dealer,Diesel,Manual,28.09,1248,88.5,5,588879
Maruti Baleno,Maruti,Baleno,4,51000,Dealer,Petrol,Manual,21.4,1197,83.1,5,586360
Mahindra Bolero,Mahindra,Bolero,12,15000,Individual,Diesel,Manual,13.6,2523,63.0,7,274803
Hyundai i10,Hyundai,i10,13,64684,Dealer,Petrol,Manual,20.36,1197,78.9,5,199220
Maruti Swift,Maruti,Swift,6,75000,Dealer,Diesel,Manual,25.2,1248,74.0,5,503600
Maruti Alto,Maruti,Alto,5,45000,Dealer,CNG,Manual,30.46,796,47.3,5,294210
Maruti Swift Dzire,Maruti,Swift Dzire,6,180000,Individual,Diesel,Manual,26.59,1248,74.0,5,468225
Honda Amaze,Honda,Amaze,8,54000,Dealer,Diesel,Manual,25.8,1498,98.6,5,366590
Maruti Swift Dzire,Maruti,Swift Dzire,4,42000,Dealer,Petrol,Manual,22.0,1197,81.8,5,607078
Maruti Ciaz,Maruti,Ciaz,5,115852,Dealer,Diesel,Manual,28.09,1248,88.5,5,661075
Hyundai i10,Hyundai,i10,9,49000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,333183
Maruti Swift,Maruti,Swift,5,20000,Dealer,Petrol,Manual,22.0,1197,81.8,5,500490
Hyundai Verna,Hyundai,Verna,7,40000,Individual,Diesel,Manual,22.32,1582,126.3,5,611815
Skoda Superb,Skoda,Superb,4,8000,Dealer,Petrol,Automatic,14.67,1798,177.46,5,2829208
Maruti Celerio,Maruti,Celerio,6,28951,Dealer,Petrol,Automatic,23.1,998,67.04,5,444360
Mahindra Scorpio,Mahindra,Scorpio,3,38500,Individual,Diesel,Manual,16.36,2179,140.0,7,1258760
BMW 3,BMW,3,6,45000,Dealer,Diesel,Automatic,22.69,1995,190.0,5,2292600
Jaguar XF,Jaguar,XF,8,40000,Dealer,Diesel,Automatic,16.36,2179,187.7,5,1990120
Maruti Alto,Maruti,Alto,6,56660,Dealer,Petrol,Manual,23.95,998,67.05,5,315600
Maruti Baleno,Maruti,Baleno,4,32000,Dealer,Diesel,Manual,27.39,1248,74.0,5,671250
Hyundai Santro,Hyundai,Santro,10,174926,Individual,Petrol,Manual,17.92,1086,62.1,5,173242
Mahindra Scorpio,Mahindra,Scorpio,9,54000,Dealer,Diesel,Manual,12.05,2179,120.0,7,524533
Maruti Celerio,Maruti,Celerio,6,23121,Dealer,Petrol,Automatic,23.1,998,67.04,5,446490
Honda Amaze,Honda,Amaze,5,103000,Dealer,Diesel,Manual,25.8,1498,98.6,5,527950
Volkswagen Vento,Volkswagen,Vento,6,40000,Individual,Petrol,Manual,15.04,1598,103.2,5,508150
Hyundai i20,Hyundai,i20,2,25000,Dealer,Petrol,Manual,18.6,1197,81.83,5,669831
Maruti Ertiga,Maruti,Ertiga,7,68880,Dealer,Diesel,Manual,20.77,1248,88.76,7,623710
Volkswagen Vento,Volkswagen,Vento,9,830000,Dealer,Diesel,Manual,20.54,1598,103.6,5,397107
Volkswagen Polo,Volkswagen,Polo,9,90100,Dealer,Diesel,Manual,22.07,1199,73.9,5,337960
Maruti Baleno,Maruti,Baleno,4,120000,Individual,Petrol,Manual,21.1,998,100.0,5,657260
Ford Figo,Ford,Figo,8,30000,Individual,Petrol,Manual,15.6,1196,70.0,5,312905
Tata Nexon,Tata,Nexon,3,18000,Individual,Diesel,Automatic,21.5,1497,108.5,5,960960
Ford Aspire,Ford,Aspire,3,59012,Dealer,Diesel,Manual,25.83,1498,99.0,5,708980
Maruti Swift Dzire,Maruti,Swift Dzire,3,70000,Individual,Diesel,Manual,28.4,1248,74.02,5,646905
Maruti Swift Dzire,Maruti,Swift Dzire,9,112000,Individual,Diesel,Manual,23.4,1248,74.0,5,376376
Maruti Wagon R,Maruti,Wagon R,7,65000,Individual,Petrol,Manual,20.51,998,67.04,5,289961
Volkswagen Vento,Volkswagen,Vento,4,64253,Dealer,Diesel,Manual,20.64,1498,108.49,5,853500
Maruti Ciaz,Maruti,Ciaz,2,30000,Individual,Petrol,Automatic,20.28,1462,103.25,5,934330
Maruti Celerio,Maruti,Celerio,7,9000,Individual,Petrol,Automatic,23.1,998,67.04,5,353170
Hyundai Santro,Hyundai,Santro,6,76300,Dealer,Petrol,Manual,17.92,1086,62.1,5,345060
Honda Amaze,Honda,Amaze,4,32000,Dealer,Petrol,Manual,17.8,1198,86.7,5,508650
Hyundai i10,Hyundai,i10,6,36936,Dealer,Petrol,Manual,19.81,1086,68.05,5,351700
Maruti Swift,Maruti,Swift,7,55000,Dealer,Petrol,Manual,21.21,1197,81.8,5,386540
Maruti Celerio,Maruti,Celerio,2,25202,Dealer,Petrol,Automatic,21.63,998,67.04,5,525883
Hyundai Creta,Hyundai,Creta,4,85000,Dealer,Diesel,Manual,22.1,1396,88.7,5,991717
Maruti Swift Dzire,Maruti,Swift Dzire,5,100000,Individual,Diesel,Manual,26.59,1248,74.0,5,485203
Mahindra XUV500,Mahindra,XUV500,10,74000,Dealer,Diesel,Manual,15.1,2179,140.0,7,659030
Maruti Swift,Maruti,Swift,8,108000,Dealer,Diesel,Manual,22.9,1248,74.0,5,386760
Hyundai i20,Hyundai,i20,3,20000,Individual,Petrol,Manual,18.6,1197,81.83,5,590784
Volkswagen Polo,Volkswagen,Polo,6,33000,Dealer,Petrol,Manual,16.47,1198,73.9,5,483363
Maruti Swift Dzire,Maruti,Swift Dzire,10,120000,Individual,Diesel,Manual,19.3,1248,73.9,5,256807
Honda Amaze,Honda,Amaze,2,8760,Dealer,Petrol,Automatic,19.0,1199,88.76,5,776700
Tata Safari,Tata,Safari,5,66000,Individual,Diesel,Manual,14.1,2179,153.86,7,919300
Tata Safari,Tata,Safari,13,110000,Individual,Diesel,Manual,11.57,2179,138.1,7,263620
Hyundai i20,Hyundai,i20,7,42000,Dealer,Petrol,Manual,18.6,1197,81.83,5,457035
Toyota Innova,Toyota,Innova,12,214000,Dealer,Diesel,Manual,12.99,2494,100.6,7,564820
Hyundai Creta,Hyundai,Creta,5,27700,Dealer,Petrol,Manual,15.29,1591,121.3,5,866771
Renault KWID,Renault,KWID,6,32000,Dealer,Petrol,Manual,20.71,799,53.26,5,323580
Hyundai Grand,Hyundai,Grand,5,60000,Individual,Petrol,Automatic,18.9,1197,81.86,5,450326
Toyota Innova,Toyota,Innova,6,117000,Dealer,Diesel,Manual,12.99,2494,100.6,8,1138796
Mahindra KUV,Mahindra,KUV,5,21000,Individual,Petrol,Manual,18.15,1198,82.0,6,474350
Mahindra Bolero,Mahindra,Bolero,3,60000,Individual,Diesel,Manual,15.96,2523,62.1,7,702940
Maruti Swift,Maruti,Swift,7,81000,Dealer,Diesel,Manual,28.4,1248,74.0,5,431300
Mahindra KUV,Mahindra,KUV,4,30000,Individual,Petrol,Manual,18.15,1198,82.0,5,369790
Mahindra Scorpio,Mahindra,Scorpio,3,50000,Individual,Diesel,Manual,15.4,2523,75.0,7,856697
Maruti Ertiga,Maruti,Ertiga,8,90000,Individual,Diesel,Manual,20.77,1248,88.8,7,484440
Maruti Ciaz,Maruti,Ciaz,5,86000,Dealer,Diesel,Manual,28.09,1248,88.5,5,643510
Maruti Ertiga,Maruti,Ertiga,4,63000,Dealer,Diesel,Manual,24.2,1498,93.87,7,784810
Maruti Wagon R,Maruti,Wagon R,6,15000,Individual,Petrol,Manual,20.51,998,67.04,5,325300
BMW X5,BMW,X5,2,7000,Dealer,Diesel,Automatic,13.38,2993,265.0,5,8009740
Renault KWID,Renault,KWID,2,1100,Dealer,Petrol,Manual,23.01,999,67.0,5,413930
Skoda Rapid,Skoda,Rapid,4,35000,Dealer,Petrol,Automatic,14.84,1598,103.2,5,810780
Toyota Innova,Toyota,Innova,4,63000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1545890
Hyundai Verna,Hyundai,Verna,8,78000,Dealer,Diesel,Manual,22.32,1582,126.3,5,470700
Maruti Wagon R,Maruti,Wagon R,2,9605,Dealer,Petrol,Manual,20.52,1197,81.8,5,494850
Hyundai i20,Hyundai,i20,3,33000,Dealer,Petrol,Manual,18.6,1197,81.86,5,745435
Renault KWID,Renault,KWID,3,1973,Dealer,Petrol,Automatic,24.04,999,67.0,5,401150
Toyota Innova,Toyota,Innova,4,36639,Dealer,Diesel,Automatic,13.68,2393,147.51,8,1733290
Maruti Wagon R,Maruti,Wagon R,4,75000,Dealer,CNG,Manual,33.54,998,67.04,5,400590
Hyundai Verna,Hyundai,Verna,7,68000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,662990
Ford Endeavour,Ford,Endeavour,2,18000,Dealer,Diesel,Automatic,10.91,3198,197.0,7,3137370
Maruti Baleno,Maruti,Baleno,4,45000,Dealer,Diesel,Manual,27.39,1248,74.0,5,669960
Honda Amaze,Honda,Amaze,2,68000,Dealer,Diesel,Automatic,21.0,1498,78.9,5,748020
Maruti Ertiga,Maruti,Ertiga,2,15000,Individual,Petrol,Manual,19.34,1462,103.0,7,941620
Renault KWID,Renault,KWID,6,45006,Dealer,Petrol,Manual,25.17,799,53.3,5,291745
Maruti Swift,Maruti,Swift,8,80000,Individual,Diesel,Manual,22.9,1248,74.0,5,355184
Hyundai Creta,Hyundai,Creta,4,45900,Dealer,Diesel,Manual,19.67,1582,126.2,5,1076277
Maruti Swift Dzire,Maruti,Swift Dzire,10,44070,Dealer,Petrol,Manual,17.5,1197,85.8,5,341680
Hyundai Creta,Hyundai,Creta,5,52000,Dealer,Diesel,Manual,21.38,1396,88.7,5,761020
Honda City,Honda,City,7,90000,Individual,Diesel,Manual,25.1,1498,98.6,5,580380
Maruti Baleno,Maruti,Baleno,3,30000,Individual,Petrol,Automatic,21.4,1197,83.1,5,709137
Toyota Innova,Toyota,Innova,5,40000,Individual,Diesel,Manual,13.68,2393,147.8,8,1638192
Hyundai Creta,Hyundai,Creta,3,22000,Dealer,Petrol,Automatic,14.8,1591,121.3,5,1240920
Tata Tiago,Tata,Tiago,2,11000,Individual,Petrol,Manual,23.84,1199,84.0,5,506763
Honda City,Honda,City,3,12000,Individual,Petrol,Manual,17.4,1497,117.6,5,1057330
Maruti Alto,Maruti,Alto,11,70000,Individual,Petrol,Manual,19.7,796,46.3,5,136031
Maruti Swift,Maruti,Swift,4,34000,Individual,Petrol,Manual,20.4,1197,81.8,5,487570
Hyundai Verna,Hyundai,Verna,11,25000,Individual,Diesel,Manual,16.2,1493,110.0,5,405110
Maruti Wagon R,Maruti,Wagon R,6,62000,Dealer,Petrol,Manual,18.9,998,67.1,5,366255
Hyundai Grand,Hyundai,Grand,6,80000,Dealer,Diesel,Manual,24.0,1120,70.0,5,448150
Datsun redi-GO,Datsun,redi-GO,5,50000,Dealer,Petrol,Manual,21.7,999,67.05,5,328198
Maruti Ertiga,Maruti,Ertiga,4,19000,Dealer,Diesel,Manual,24.52,1248,88.5,7,872227
Maruti Swift,Maruti,Swift,11,36000,Individual,Petrol,Manual,16.6,1197,85.0,5,279260
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,8,140000,Dealer,Diesel,Automatic,14.21,2143,203.0,5,1638150
Hyundai i10,Hyundai,i10,9,61685,Dealer,Petrol,Manual,19.81,1086,68.05,5,260800
Volkswagen Vento,Volkswagen,Vento,5,72000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,694420
Hyundai Grand,Hyundai,Grand,2,5000,Individual,Petrol,Manual,18.9,1197,81.86,5,571047
Volvo XC,Volvo,XC,1,9000,Dealer,Diesel,Automatic,17.2,1969,235.0,7,7344990
Honda Amaze,Honda,Amaze,2,10000,Dealer,Diesel,Manual,27.4,1498,98.63,5,880750
Hyundai i20,Hyundai,i20,11,81000,Dealer,Petrol,Manual,18.5,1197,80.0,5,307180
Hyundai i10,Hyundai,i10,10,82000,Dealer,Petrol,Manual,20.36,1197,78.9,5,297760
Ford Aspire,Ford,Aspire,6,70000,Individual,Diesel,Manual,25.83,1498,99.0,5,472817
Honda Jazz,Honda,Jazz,4,30000,Dealer,Petrol,Manual,18.7,1199,88.7,5,574400
Hyundai Creta,Hyundai,Creta,3,40000,Individual,Diesel,Manual,21.38,1396,88.7,5,955212
Land Rover Rover,Land Rover,Rover,7,52000,Dealer,Diesel,Automatic,12.7,2179,187.7,5,3529700
Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,735130
Hyundai i10,Hyundai,i10,9,34000,Individual,Petrol,Manual,20.36,1197,78.9,5,277250
Maruti Baleno,Maruti,Baleno,2,14000,Dealer,Petrol,Manual,21.01,1197,81.8,5,728240
Hyundai Verna,Hyundai,Verna,7,30666,Dealer,Diesel,Manual,22.32,1582,126.3,5,620320
Hyundai i20,Hyundai,i20,3,32000,Dealer,Diesel,Manual,21.19,1396,88.76,5,784080
Maruti Wagon R,Maruti,Wagon R,6,38546,Dealer,Petrol,Manual,20.51,998,67.04,5,374475
Honda WR-V,Honda,WR-V,3,58000,Individual,Diesel,Manual,25.5,1498,98.6,5,874974
Tata Nexon,Tata,Nexon,3,40000,Individual,Diesel,Automatic,21.5,1497,108.5,5,978155
Toyota Innova,Toyota,Innova,3,42000,Dealer,Diesel,Automatic,13.68,2393,147.51,7,1802880
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,3,25000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,3219107
Skoda Rapid,Skoda,Rapid,7,50900,Dealer,Petrol,Manual,15.0,1598,103.5,5,535610
BMW 3,BMW,3,5,13900,Dealer,Diesel,Automatic,22.69,1995,190.0,5,2575360
Ford Ecosport,Ford,Ecosport,6,31700,Dealer,Diesel,Manual,22.7,1498,89.84,5,581140
Hyundai Creta,Hyundai,Creta,1,1500,Individual,Petrol,Manual,15.8,1591,121.3,5,1094680
Maruti Wagon R,Maruti,Wagon R,12,27000,Dealer,Petrol,Manual,18.9,998,67.1,5,167640
Renault KWID,Renault,KWID,3,15300,Dealer,Petrol,Manual,23.01,999,67.0,5,401600
Hyundai Verna,Hyundai,Verna,3,60000,Individual,Diesel,Automatic,22.0,1582,126.2,5,1080610
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,4,48000,Dealer,Diesel,Automatic,16.1,1950,191.7,5,3667630
Maruti Alto,Maruti,Alto,7,65000,Individual,Petrol,Manual,23.95,998,67.05,5,266352
Maruti Alto,Maruti,Alto,5,30000,Individual,Petrol,Manual,23.95,998,67.05,5,312800
Hyundai i20,Hyundai,i20,3,38000,Dealer,Petrol,Manual,18.6,1197,81.86,5,698447
Hyundai Creta,Hyundai,Creta,4,43000,Dealer,Petrol,Manual,13.0,1591,121.3,5,1002060
Maruti Vitara,Maruti,Vitara,5,120000,Individual,Diesel,Manual,24.3,1248,88.5,5,699459
Hyundai Grand,Hyundai,Grand,6,39048,Dealer,Petrol,Manual,18.9,1197,82.0,5,407750
Renault KWID,Renault,KWID,5,45000,Individual,Petrol,Manual,23.01,999,67.0,5,273223
Maruti Alto,Maruti,Alto,7,56332,Dealer,Petrol,Manual,23.95,998,67.05,5,293283
Hyundai Creta,Hyundai,Creta,5,42530,Dealer,Petrol,Manual,15.29,1591,121.3,5,872190
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,5,14000,Individual,Diesel,Automatic,16.1,1950,191.7,5,3693950
Maruti Swift Dzire,Maruti,Swift Dzire,8,86300,Individual,Petrol,Manual,19.1,1197,85.8,5,393784
Tata Tiago,Tata,Tiago,4,28000,Dealer,Petrol,Manual,23.84,1199,84.0,5,491715
Hyundai Verna,Hyundai,Verna,9,72000,Dealer,Diesel,Manual,22.32,1582,126.32,5,470370
Hyundai Grand,Hyundai,Grand,4,48000,Dealer,Petrol,Manual,18.9,1197,81.86,5,511250
Maruti Wagon R,Maruti,Wagon R,10,120000,Individual,CNG,Manual,26.2,998,58.2,5,253145
Hyundai Santro,Hyundai,Santro,10,64000,Dealer,Petrol,Manual,17.92,1086,62.1,5,246160
Hyundai Verna,Hyundai,Verna,2,6500,Individual,Petrol,Manual,17.1,1591,121.3,5,1077711
Mahindra Bolero,Mahindra,Bolero,3,45000,Individual,Diesel,Manual,16.5,1493,70.0,7,686090
Toyota Innova,Toyota,Innova,4,80000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1699260
Honda CR,Honda,CR,8,55000,Dealer,Petrol,Automatic,12.0,2354,187.4,5,1999250
Toyota Innova,Toyota,Innova,4,101564,Dealer,Petrol,Manual,11.25,2694,163.7,7,1540600
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,40000,Dealer,Diesel,Automatic,19.71,2143,201.15,5,2878237
Hyundai Creta,Hyundai,Creta,6,140000,Individual,Diesel,Manual,19.67,1582,126.2,5,954100
Maruti Baleno,Maruti,Baleno,4,33528,Trustmark Dealer,Petrol,Manual,21.4,1197,83.1,5,605704
Maruti Wagon R,Maruti,Wagon R,12,48192,Dealer,Petrol,Manual,18.9,1061,67.0,5,192880
Honda City,Honda,City,10,40142,Dealer,Petrol,Manual,17.0,1497,118.0,5,349778
Maruti Swift Dzire,Maruti,Swift Dzire,5,67195,Dealer,Petrol,Manual,21.21,1197,81.8,5,541164
Toyota Innova,Toyota,Innova,5,35512,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1844850
Mahindra XUV500,Mahindra,XUV500,6,70000,Dealer,Diesel,Manual,16.0,2179,140.0,7,1081350
Mahindra Scorpio,Mahindra,Scorpio,9,120000,Individual,Diesel,Automatic,11.79,2179,120.0,8,571275
Datsun GO,Datsun,GO,3,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,417120
Honda Amaze,Honda,Amaze,3,3919,Dealer,Diesel,Automatic,23.8,1498,78.9,5,852890
Maruti Vitara,Maruti,Vitara,4,55000,Dealer,Diesel,Manual,24.3,1248,88.5,5,862225
Maruti Ertiga,Maruti,Ertiga,6,40000,Dealer,Petrol,Manual,19.34,1462,103.0,7,575937
Maruti Alto,Maruti,Alto,6,17000,Dealer,Petrol,Manual,23.95,998,67.1,5,299607
Maruti XL6,Maruti,XL6,1,9500,Dealer,Petrol,Automatic,17.99,1462,103.2,6,1178150
Hyundai i10,Hyundai,i10,10,67000,Dealer,Petrol,Manual,19.81,1086,68.05,5,243320
Hyundai Creta,Hyundai,Creta,5,52000,Dealer,Diesel,Manual,19.67,1582,126.2,5,969450
Hyundai i20,Hyundai,i20,4,32000,Individual,Petrol,Manual,18.6,1197,81.83,5,625967
Maruti Wagon R,Maruti,Wagon R,4,35000,Dealer,Petrol,Manual,21.79,998,67.05,5,430040
Mahindra XUV500,Mahindra,XUV500,5,70066,Dealer,Diesel,Manual,16.0,1997,140.0,7,1114590
Hyundai i10,Hyundai,i10,10,30000,Individual,Petrol,Manual,20.36,1197,78.9,5,268940
Mahindra Scorpio,Mahindra,Scorpio,3,60000,Individual,Diesel,Manual,15.4,2523,75.0,7,822185
Toyota Fortuner,Toyota,Fortuner,5,120000,Individual,Diesel,Manual,12.55,2982,168.5,7,2020350
Honda Jazz,Honda,Jazz,5,15000,Individual,Petrol,Manual,18.7,1199,88.7,5,616050
